class,image_id,choice,age,time

AI,AI_image_fx_a_man_in_a_blue_shirt_is_carrying_a_bag_over.jpg,AI,23,2.417182602992828
AI,AI_image_fx_three_men_are_using_washington_mutual_atms_ou.jpg,AI,23,3.71063332377991
AI,AI_image_fx_a_man_is_walking_in_front_of_a_store_called_c.jpg,AI,23,2.291760633496485
REAL,REAL_000000257528.jpg,Nicht AI,23,2.4901492009636805
REAL,REAL_000000518716.jpg,Nicht AI,23,3.1937576561771963
AI,AI_image_fx_three_business_people_walk_down_a_busy_street.jpg,AI,23,2.6788058137297024
AI,AI_image_fx_a_white_bowl_filled_with_meat_veggies_and_no.jpg,AI,23,2.93607419170153
REAL,REAL_000000263385.jpg,Nicht AI,23,3.8358582964253216
AI,AI_image_fx_zebra_sitting_in_a_field_of_grass_and_other_z.jpg,Nicht AI,23,2.678926180856761
AI,AI_image_fx_a_football_player_in_a_red_and_black_jersey_i.jpg,AI,23,2.649661525335201
AI,AI_image_fx_a_crocheted_bear_with_a_large_ruff_posed_next.jpg,AI,23,2.3076608623778805
REAL,REAL_000000522575.jpg,REAL,23,3.1684557148438306
REAL,REAL_000000518628.jpg,REAL,23,3.60489666416656
REAL,REAL_000000256343.jpg,REAL,23,2.929051203688659
REAL,REAL_000000257149.jpg,AI,23,2.745826457572643
AI,AI_image_fx_a_woman_with_a_large_purse_is_walking_by_a_ga.jpg,AI,23,3.0495762077791264
AI,AI_image_fx_bystanders_cheer_the_closing_ceremony_of_a_so.jpg,AI,23,3.3564530504502668
AI,AI_image_fx_a_boat_that_is_sitting_in_the_water.jpg,AI,23,2.580706687339651
AI,AI_image_fx_the_farmer_is_collecting_produce_in_the_field.jpg,REAL,23,3.871523388176681
AI,AI_image_fx_a_large_building_in_the_city_in_the_sunlight.jpg,REAL,23,3.954785913158769
REAL,REAL_000000519264.jpg,REAL,23,2.7323687469962676
REAL,REAL_000000256838.jpg,REAL,23,3.529961109403451
AI,AI_image_fx_a_woman_on_skis_in_the_snow_near_mountains.jpg,AI,23,2.3260468764353592
AI,AI_image_fx_a_man_with_glasses_lighting_a_candle.jpg,AI,23,3.7238953623702318
AI,AI_image_fx_tourists_enjoying_a_tour_through_victoria_in.jpg,AI,23,2.2333709977542413
AI,AI_image_fx_a_woman_smiling_as_she_hold_two_white_dishes.jpg,AI,23,3.8057654260944855
AI,AI_image_fx_five_workers_sitting_on_the_side_of_a_road_ea.jpg,AI,23,2.996346121146243
AI,AI_image_fx_a_person_that_is_getting_a_plate_of_food_out.jpg,AI,23,3.0144293545291876
AI,AI_image_fx_an_old_red_cross_jeep_is_in_a_display.jpg,AI,23,3.403893066461658
REAL,REAL_85318261.jpg,REAL,23,2.876170935386898
AI,AI_image_fx_a_male_in_black_shorts_is_climbing_out_of_a_p.jpg,AI,50,2.337430085901528
REAL,REAL_803175693.jpg,REAL,50,3.97519121766146
AI,AI_image_fx_a_photo_of_a_cake_with_a_space_theme.jpg,AI,50,2.1155893440889324
REAL,REAL_000000256785.jpg,REAL,50,3.335125529198831
AI,AI_image_fx_a_bathroom_is_nicely_decorated_with_calming_c.jpg,AI,50,3.6924565998378647
REAL,REAL_000000256535.jpg,AI,50,2.62593797068091
REAL,REAL_000000519783.jpg,REAL,50,3.287713807481348
REAL,REAL_000000518769.jpg,AI,50,3.190824848257684
REAL,REAL_000000254096.jpg,AI,50,2.9771466866805905
AI,AI_image_fx_a_group_of_people_riding_camels_.jpg,AI,50,3.947685506378189
REAL,REAL_78171801.jpg,REAL,23,2.7245884326740155
REAL,REAL_000000519867.jpg,REAL,23,3.8374668159341447
REAL,REAL_000000012209.jpg,REAL,23,3.942833735737876
AI,AI_image_fx_a_young_woman_playing_hopscotch_.jpg,REAL,23,2.732642723581863
REAL,REAL_000000518695.jpg,REAL,23,2.9351913508651393
AI,AI_image_fx_taller_runner_in_orange_and_smaller_one_in_bl.jpg,REAL,23,2.0387537912704694
AI,AI_image_fx_an_adult_dressed_in_black_holds_a_stick_.jpg,AI,23,3.884621980115431
REAL,REAL_000000518834.jpg,AI,23,2.6401139834254477
REAL,REAL_107985741.jpg,REAL,23,2.4589354045829026
REAL,REAL_000000256655.jpg,REAL,23,2.7897269858689207
REAL,REAL_000000260827.jpg,REAL,23,2.0314686081358513
AI,AI_image_fx_a_group_of_people_are_sitting_and_a_man_is_ta.jpg,REAL,23,3.3877277515576845
REAL,REAL_102520526.jpg,REAL,23,3.2082624873664174
REAL,REAL_000000519845.jpg,REAL,23,2.823320689072025
REAL,REAL_78347259.jpg,REAL,23,3.908656604138502
AI,AI_image_fx_a_construction_worker_is_standing_in_the_stre.jpg,REAL,23,2.891020282291549
REAL,REAL_000000260716.jpg,REAL,23,2.440966306443351
AI,AI_image_fx_a_meal_including_cooked_carrots_and_a_glass_o.jpg,REAL,23,3.379230494581355
AI,AI_image_fx_an_older_man_in_a_pink_shirt_uses_machinery_t.jpg,REAL,23,3.764787533435993
REAL,REAL_103195344.jpg,REAL,23,2.5629232166244207
REAL,REAL_000000518638.jpg,REAL,23,3.045184836262017
